id,name,lat,lon,address,speciality,emergency,icu,operating_theatre,ventilator,x_ray,opening_hours,website,phone
943246318,मनमोहन मेमोरियल अस्पताल,27.7179394,85.3112441,Dakshinkali,cardiology/others,yes,yes,yes,yes,yes,24/7,http://www.mmchospital.org.np,
1497172311,सैनिक अस्पताल,27.7114391,85.2913209,chhauni kathmandu,cardiology/others,yes,yes,yes,yes,yes,24/7,https://birendrahospital.nepalarmy.mil.np/,
1767445004,Krishna Prasad Hospital,27.6296267,85.5237477,Banepa,,yes,yes,yes,yes,yes,24/7,,
1787063191,ग्लोबल अस्पताल,27.667072,85.3330204,Gwarko Chowk,,yes,yes,yes,yes,yes,24/7,,
1891343745,धन्वन्तरी आयुर्वेद अस्पताल तथा अनुसन्धान केन्द्र,27.7324263,85.3443527,Dhumbarahi,ayurvedic treatment,yes,yes,yes,yes,yes,24/7,,
1898593305,आरोग्य आश्रम,27.7177828,85.3304899,Thirbam Sadak,yoga/ayuveda,yes,yes,yes,yes,yes,24/7,,014412075
1985458243,CIWEC Hospital,27.7202714,85.3178811,British-Indian Embassy Rd,,yes,yes,yes,yes,yes,24/7,https://www.ciwec-clinic.com/,"977-1-4424111, 4435232"
2027886569,चिरायु राष्ट्रिय अस्पताल तथा चिकित्सा संस्थान,27.6922104,85.3301616,,,yes,yes,yes,yes,yes,24/7,,
2027895182,इन्फेरलिटी सेन्टर,27.6903846,85.32902,,,yes,yes,yes,yes,yes,24/7,,
2077258831,सुब्बा मेडिकल सेन्टर प्रा. लि,27.7378197,85.3230411,,,yes,yes,yes,yes,yes,24/7,,
2121884151,कुन्फेन तिब्बती चिकित्सा,27.713065,85.3092366,,,no,yes,yes,yes,yes,24/7,,
2122386462,यती अस्पताल,27.7024512,85.2824017,,,yes,yes,yes,yes,yes,24/7,,
2153239616,Panauti Hospital,27.5923956,85.5169801,,,yes,yes,yes,yes,yes,24/7,,
2164877858,सार्वजनिक अस्पताल,27.6656582,85.3054073,,,yes,yes,yes,yes,yes,24/7,,
2165424701,नेपाल पशु अस्पताल,27.6948215,85.3112844,,,yes,yes,yes,yes,yes,24/7,,
2165424708,ब्लु क्रस अस्पताल,27.6937147,85.3152583,Tripura Marg,cardiology/others,yes,yes,yes,yes,yes,24/7,https://www.bluecross.com.np/,014262027
2218658273,दिव्या संजीवनी अस्पताल,27.7066149,85.2867623,,,yes,yes,yes,yes,yes,24/7,,
2236622338,भारोसा अस्पताल,27.6943238,85.3370557,,,yes,yes,yes,yes,yes,24/7,,
2282086109,नेपाल डायग्नोस्टिक सेन्टर प्रा. लि.,27.7010578,85.3116341,,,yes,no,no,yes,yes,24/7,,
2352666875,Buddha Minimal Access International (MAI) Center,27.6980033,85.304213,Guna Kam Dev Marga,,yes,no,no,no,no,24/7,,
2425005466,नेपाल प्रहरी अस्पताल,27.7310242,85.3235715,Maharajgunj,cardiology and others,yes,yes,yes,yes,yes,24/7,https://nph.nepalpolice.gov.np/,
2684770935,मोबाइल पशु चिकित्सा अस्पताल,27.6737417,85.3117739,,,yes,yes,yes,yes,yes,24/7,,
2857869822,तारिनी स्वास्थ्य केन्द्र,27.7049515,85.3084222,,,yes,yes,yes,yes,yes,24/7,,
3047240296,नेत्रधाम आँखा सेवा केन्द्र,27.6873782,85.3164579,,eye care,yes,yes,yes,yes,yes,24/7,,015551345
3640853145,नेपाल न्यासनल अस्पताल,27.6947253,85.2821685,,,yes,yes,yes,yes,yes,24/7,,
4132097725,सिटी अस्पताल,27.6909765,85.3246923,,,yes,yes,yes,yes,yes,24/7,,
4132510093,काठमाडौं मेडिकल कलेज,27.7015906,85.3275905,sinamangal(kathmandu),cardiology and other,yes,yes,yes,yes,yes,24/7,,
4225138790,Bhaktapur Hospital Emergency Block,27.6720774,85.4220862,Dudhpati,,yes,yes,yes,yes,yes,24/7,,
4243043791,मध्यपुर अस्पताल,27.6725806,85.3879984,,,yes,yes,yes,yes,yes,24/7,,
4264064753,Family Hospital,27.617975,85.3196166,,,yes,yes,yes,yes,yes,24/7,,
4393701590,संजीवनी हेल्थ केयर सेन्टर,27.6755499,85.3520244,Arniko Raj Marga,,yes,yes,yes,yes,yes,24/7,,+9779841245023
4537066892,चाइना हस्पिटल (पी) लिमिटेड,27.7204629,85.3622164,,,yes,yes,yes,yes,yes,Mo-Su 09:00-17:00,,01-4482275
4579894969,निदान अस्पताल प्रा.लि.,27.6773339,85.3217511,,,yes,yes,yes,yes,yes,24/7,http://www.nidanhospital.com,977-1-5531333
4599786089,अल्का अस्पताल प्रा. लि.,27.6698644,85.3096819,Ekata Tole,,yes,yes,yes,yes,yes,24/7,,015555555
4611193689,कपन अस्पताल,27.7347534,85.3602424,Chunikhel Marg,,yes,yes,yes,yes,yes,24/7,https://www.karunahospital.com.np/,015128201
4615993995,पीपुल्स डेंटल कलेज र अस्पताल,27.7190481,85.3090847,Ropeway Sadak,,yes,yes,yes,yes,yes,24/7,,
4648504195,ओम समाज अस्पताल,27.6863982,85.2591226,,,yes,yes,yes,yes,yes,24/7,,
4748269321,स्वाकोन अन्तर्राष्ट्रिय अस्पताल (काठमाडौं),27.7042102,85.3364085,रुद्रमती मार्ग,,yes,yes,yes,yes,yes,24/7,https://www.swaconhospital.com,+977 01 4462960;+977 01 4578105;+977 01 4570588
4795380222,प्रस्तावित इशान महिला तथा बालबालिका अस्पताल,27.7445649,85.3335285,,,yes,yes,yes,yes,yes,24/7,,
4795380223,पेडिअट्रिक्स,27.7365875,85.3306265,,,yes,yes,yes,yes,yes,24/7,,
4810801975,ग्रान्डी सिटी अस्पताल,27.711016,85.3147438,Dhapasi(kathmandu),cardiology/others,yes,yes,yes,yes,yes,24/7,,
4928572762,हाम्रो सहयात्री अस्पताल,27.6760051,85.3535501,Thimi-Biruwa Road,,yes,yes,yes,yes,yes,24/7,,
4933494321,Anandaban Training Center,27.5768323,85.3135768,,,yes,yes,yes,yes,yes,24/7,,
5043184624,आयुर्वेदिक,27.6684119,85.2752829,,,yes,yes,yes,yes,yes,24/7,,
5068560173,हिमालय उपचार केन्द्र,27.7291945,85.3706839,,,yes,yes,yes,yes,yes,24/7,,
5068574573,नेपाल मनमिन अस्पताल,27.6630188,85.3336444,,,yes,yes,yes,yes,yes,24/7,,
5239936321,मानसिक शरण,27.6830328,85.3115909,,,yes,yes,yes,yes,yes,24/7,,
5358434921,बिनायक अस्पताल,27.7350965,85.3130213,,,yes,yes,yes,yes,yes,24/7,,
5568194823,टेकु अस्पताल,27.6946731,85.3064884,,,yes,yes,yes,yes,yes,24/7,,
5715696859,सुरुची होम केयर,27.6937636,85.3377249,,,yes,yes,yes,yes,yes,24/7,,
5961692307,दक्षिण एसियाली पोलिक्लिनिक तथा निदान केन्द्र,27.7390611,85.3261844,,,yes,yes,yes,yes,yes,24/7,,
